id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count,label
5084151,0.0,"Indeed, still very early. A month from now would be a different story.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-02 16:02:00.805121+00,21,5084125.0,323933,approved,1,1,0,0,0,0.0,4,4,False
5349201,0.1666666666666666,"Now opening at DIA, a Walmart Supercenter. And the prices are raised 1.5x since it is at the airport. Mayor Hancock will be the store manager when he retires. I suspect the Spaniards are going to open a marijuana dispensary and make out like bandits. Lol.",0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-03 01:49:45.303544+00,102,,340249,approved,0,0,0,1,0,0.0,4,6,False
5696932,0.0,"As a physician practising for 38 years, I still have to pay for my staff of 3 people, office rent, my office and clinic business and medical supplies, my accountant, my lawyer and all the other expenses that go into running a small business.  My wife works full time in my office.  I have no pension plan from OHIP.  My Ontario Medical Association Drug Benefit Plan has a $ 1000 deductible before reimbursement of any medical expenses and we have no dental plan. I have no paid vacation - as a specialist if I don't work, I don't get paid anything.

Very few physicians make 1 million dollars a year - the rest of us are slugging it out for much less working 60-80 hours per week.  In the past, instead of fee increases, we were allowed to incorporate to build up some retirement income.  As an incorporated physician, I pay income tax on what is withdrawn as income to support myself and will pay full taxes owing at the end when the corporation is wrapped up.

What does Mr. Trudeau want to prove?",0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01 17:20:11.175724+00,54,,361625,approved,0,1,0,14,0,0.0,0,4,False
642418,0.0,I'm hoping she won't be considered for any appointment let alone the VA or Interior Secretary.,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-01 00:27:24.062988+00,21,642239.0,153807,approved,0,0,0,16,0,0.0,0,4,False
414903,0.6,"The RG's role as a 1st amendment minder. Harris: 1. “I didn’t know there were so many niggers working up in here, and I work here.”, 2. “If I had a gun, I’d shoot that nigger.”, 3. ""...as 'nigger' is...""  Ortal's comments: 1.  “Hey **,” [sic] yelled at him at an LCC parking lot, 2. Having the word ** [sic] scratched on his vehicle while at VRC. Additional examples from LCC include: 1.  A sitting VP for Instruction & Student Services, Cheryl Roberts, (who parenthetically was not the # 1 candidate-an African American male; nor the # 2 candidate-an Asian American woman but the # 3 ranked candidate) was routinely referred to by staff as the ""...nigger Barbie..."" What happened to the # number one candidate, Paul Killpatrick, was a topic of discussion at the time, e.g. ""...They are taking out all the urinals in the 2nd floor (of the administration building) men's bathroom.""-Tim Craig. Thus, the recently completed The Myths Surrounding a Post-Racial America's methodology might interest you.",0.3,0.2,0.5,0.5,0.6,0.6,0.0,0.0,0.6,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2016-08-03 17:41:03.106201+00,13,,142723,approved,0,0,0,0,0,0.0,10,10,True
6275180,0.0,I can remember sitting in traffic for a couple of hours in the 90s when Clinton decided to go golfing one fine afternoon and @#$% up traffic on the west side during rush hour. Nothing new.,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-02 17:41:52.923539+00,55,6274746.0,396192,approved,0,0,0,4,0,0.0,0,4,False
5195415,0.0,"As a teacher and parent of the public school system AND as a voter, I am against this hotel tax increase. I believe the rail project needs to stop. I don't like the $50 million special fund for education piggy-backed to this rail tax proposal. This is like when I buy a car, I don't use my trade-in as a starting point because it is the easiest way for the salesman to hid the true cost. The two transactions need to be handled independently. Likewise here, the legislators are obfuscating - confusing - the issue!",0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-29 19:13:50.248322+00,22,,330531,approved,0,0,0,0,0,0.0,0,4,False
5775257,0.71875,I know right. He would have been better off keeping his mouth shut and looking stupid vs opening it and removing all doubt.,0.03125,0.140625,0.0,0.6875,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-15 21:53:30.483971+00,102,5775157.0,366902,approved,0,0,0,13,3,0.0,0,64,True
619702,0.6875,"I have always thought she should be prosecuted. I voted for Johnson because Hillary is a criminal and Trump is a scumbag. A scumbag who duped 62,000,000 gullible Americans into voting for him using his ""savvy business tactics"" aka Lying.",0.0375,0.4,0.025,0.7125,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-22 17:52:38.904887+00,21,619612.0,152575,approved,0,0,0,1,1,0.0125,0,80,True
6231153,0.4625,Freeland is a joke.....  Hey where are the sanctions against the USA or China or Israel Freeland.....the most murderous state....the ones taking over Tibet and the Apartheid state?     Hypocrisy much.,0.0,0.0125,0.1125,0.425,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-27 00:10:11.448191+00,54,,393768,approved,0,0,0,1,0,0.0,0,80,False
